(0-4.3) V-C,(0-4.3) C,(0-4.3) V-R,(0-4.3) R,(0-3) V-C,(0-3) C,(0-3) V-R,(0-3) R,(0-2) V-C,(0-2) C,(0-2) V-R,(0-2) R,(0-1) V-C,(0-1) C,(0-1) V-R,(0-1) R,(0-0) V-C,(0-0) C,(0-0) V-R,(0-0) R
-0.1916240602,2.899372983,0.1916299081,5.720530416,0,7.131087608,0.5748721805,5.720530416,0,4.309973223,0.3832481203,5.720530416,-0.1916240602,5.720530416,0,5.720530416,0,2.89941603,0,4.309973223
0.7664962406,40.98446023,0.9581203008,-14.02727028,0.9581203008,55.09003216,1.341368421,-19.66958515,1.149750209,62.14281812,0.3832481203,-47.880729,0.5748721805,49.44780339,0.7664962406,-56.34398606,0.1916299081,24.05777392,2.682736842,-23.90117063
1.916240602,93.17507636,2.682736842,-43.64897133,2.299488722,104.4595339,2.299488722,-57.75454325,2.491112782,100.2278623,2.10787051,-80.32345834,1.149750209,81.89061882,0.1916299081,-38.00674256,4.982231412,52.26887473,8.239834586,-30.95395659
3.449233083,142.5445781,3.06599081,-85.96568711,2.874360902,151.0078782,3.449233083,-111.3558027,4.024111111,129.8495203,3.449233083,-114.176831,6.898472013,107.2806483,5.748721805,-78.91290114,12.83881203,63.55337531,18.39591562,-35.18562817
4.407353383,187.6824083,4.407353383,-135.3351888,4.598977444,184.8612939,5.173849624,-160.7253044,7.473338346,146.7762497,6.131969925,-133.9246317,12.26393985,124.2073346,10.73095322,-85.96568711,19.92890226,64.96393251,28.3603609,-36.59618536
6.323593985,228.5885238,5.557097744,-177.6519046,8.814712615,203.1985374,12.45556391,-194.5785909,12.64719382,166.5240504,10.92257143,-140.9774176,18.97078195,128.4390062,18.20428571,-90.19735868,32.57609023,72.01671847,40.04942857,-40.82794304
10.53932331,266.6735895,10.15607519,-225.6108492,12.26393985,228.5885238,19.35403592,-203.0420202,16.67129323,169.3451648,16.67129323,-148.0302036,27.21061654,132.6706778,28.74360902,-94.42903026,44.84003008,73.42723262,53.07986466,-43.64897133
12.64719382,286.4214118,12.26393985,-245.358736,22.99488722,239.8730244,30.65984962,-207.2736057,24.33625564,176.3979507,27.01899833,-153.6725184,38.70806015,134.0812349,41.77404511,-97.25014465,57.48721805,74.83783285,68.02654135,-45.05952852
20.12052632,306.1691694,18.97078195,-262.2853362,32.19284211,246.9258104,44.84003008,-215.7369488,35.25882707,180.6296223,37.74993985,-157.9041039,50.78037594,138.3129065,53.27148872,-100.071259,71.28416207,77.65894724,80.09885714,-46.47008571
29.12685714,318.8642272,26.25249624,-276.3909081,41.19917293,251.1574819,59.21183459,-219.9686204,46.94789474,184.8612939,48.48088722,-159.3146611,64.19406015,141.1340209,67.64329323,-102.8924165,83.16484211,79.06950443,90.06330827,-49.2912001
44.26515789,334.3803133,41.39079699,-296.1387088,52.31336842,258.2102679,72.43389474,-227.0214064,57.48721805,187.6824083,59.40345865,-160.7253044,79.3323609,143.9550922,81.44022556,-105.7134878,97.53664662,80.48001858,105.201609,-50.70175729
62.46944361,352.7175998,59.78670677,-314.4759523,65.53544027,265.2630539,84.31458647,-231.253164,68.98466165,191.9140798,69.55953383,-163.5463327,93.51254135,143.9550922,93.70416541,-107.124045,111.1419549,81.89061882,119.5734135,-53.52287168
79.14073684,368.2337289,77.22449624,-325.7604099,79.3323609,272.3158398,97.72827068,-238.30595,83.54809023,197.5563086,80.2904812,-167.7780904,114.2079398,149.5973641,104.0518647,-108.5346022,124.7472632,86.1222904,131.8373534,-53.52287168
93.12929323,382.3393009,103.2853684,-341.276539,90.63818045,277.9580255,110.5670944,-242.5375355,96.96177444,203.1985159,94.47066165,-170.5991187,130.6876207,155.2395928,118.6152932,-111.3557166,144.4845414,90.35396197,143.7180451,-56.34398606
109.6089741,395.0342941,120.7231579,-346.9187677,105.3932331,286.4214118,124.364015,-245.358736,109.2257143,206.0196518,103.8602523,-173.420233,150.0416391,159.4712644,134.1368421,-116.9979884,164.0301955,91.76451917,156.3652331,-57.75454325
123.2142707,406.3187731,136.0530827,-356.7926681,115.9325564,290.6530833,142.5683008,-252.4115219,121.2980301,210.2513018,116.5074286,-176.2413474,163.8385714,159.4712644,147.5505263,-118.4085025,179.5517444,94.58559051,170.5454135,-61.98630092
136.4363308,416.192652,151.7662556,-362.4348969,124.9388989,294.8847549,159.6228421,-255.2325502,130.3043609,211.6618805,128.1964962,-180.473019,176.4857594,167.9346076,161.9223308,-122.6401741,196.0314135,97.40674794,187.0250827,-64.80732922
152.7243759,428.8876882,169.5872932,-370.89824,139.8855639,300.5269837,175.336015,-263.6958934,138.5441955,214.4829519,139.8855639,-181.8836623,192.1989323,172.1662361,174.7611429,-124.0507744,211.7445865,101.6383765,200.0555422,-66.21788641
163.8385714,434.529917,188.7496992,-379.3616693,154.6406165,304.7586553,193.9235489,-265.1064506,150.2332632,215.8935521,153.6824962,-183.2941334,212.5111061,174.9873935,190.0910677,-125.4612885,232.2483609,104.4595339,214.2356992,-67.6284436
176.6773835,440.1721457,205.0377444,-386.4144552,183.3842256,318.8642272,207.9121053,-269.3381221,164.7966917,221.5357378,162.8804511,-187.525805,224.96667,179.2190221,204.4628722,-129.6929601,247.0034369,108.6911624,225.1582707,-70.44955799
190.8575639,445.8143638,235.5059933,-399.1093839,201.7801353,325.9170131,232.6316324,-276.3909081,177.2522556,225.7674525,178.402,-190.3469194,236.6557143,180.6296223,220.7509173,-132.5140745,254.2851278,111.5123199,235.5059933,-73.27067237
206.1874887,454.2777177,250.4526466,-406.1621698,216.726812,331.5592419,250.4526466,-282.0331369,188.1748271,228.5885238,200.0555422,-195.9892342,249.4945263,183.4507367,234.1646015,-135.3351888,,,248.7280301,-76.09187285
222.4755338,462.7410608,254.86,-406.1621698,232.439985,334.3803133,,,197.564406,231.4096597,215.5770677,-198.8102625,253.3270075,186.271808,246.6201654,-139.5668604,,,254.0935038,-74.68122956
240.4881955,471.204404,,,250.6442707,344.2542566,,,210.5948655,234.2307956,229.5656241,-203.0420202,,,253.5186316,-139.5668604,,,,
254.0935038,476.8466328,,,253.710279,345.6648138,,,221.7090376,237.05191,243.3625564,-207.2736057,,,,,,,,
,,,,,,,,237.4222339,242.6940957,254.86,-211.5052773,,,,,,,,
,,,,,,,,248.536406,246.9258104,,,,,,,,,,
