(0-4.3) V-C,(0-4.3) C,(0-4.3) V-R,(0-4.3) R,(2-4.3) V-C,(2-4.3) C,(2-4.3) V-R,(2-4.3) R,(4-4.3) V-C,(4-4.3) C,(4-4.3) V-R,(4-4.3) R,(6-4.3) V-C,(6-4.3) C,(6-4.3) V-R,(6-4.3) R,(10-4.3) V-C,(10-4.3) C,(10-4.3) V-R,(10-4.3) R,(15-4.3) V-C,(15-4.3) C,(15-4.3) V-R,(15-4.3) R,(25-4.3) V-C,(25-4.3) C,(25-4.3) V-R,(25-4.3) R
0.207639267,9.490828752,0,2.416271447,0,9.490828752,0,4.774637126,0,7.132732939,0,2.416271447,0,2.41648228,-0.038927064,4.737723352,-0.191983573,23.44613107,2.303873187,10.79174886,0.383978865,25.55519478,2.68785791,19.22800367,13.88888889,14.82151899,250.2893519,-98.81012658
1.661102252,63.72784205,1.453457045,-40.02985799,2.491641497,25.99763438,2.28400223,-11.73230343,5.398549646,28.35586512,1.868729638,-9.374342552,5.398549646,2.41648228,2.686302159,-6.316020122,5.759682967,33.99144958,6.719630128,6.573557097,5.951672399,25.55519478,8.255545586,10.79174886,28.06712963,18.11518987,223.0902778,-83.98860759
2.491641497,122.6811144,2.28400223,-87.19258385,7.47491855,47.22090149,8.720736329,-25.88114818,13.28874079,47.22090149,10.58946597,-16.44862999,11.62764448,28.35580609,5.800849843,-19.58051229,13.05528139,50.8639592,13.43926026,10.79174886,10.7514082,38.20951262,13.82323912,17.11887561,52.66203704,24.70253165,184.0277778,-65.87341772
4.775649668,198.1413949,4.360371135,-160.2946335,12.25055634,68.44416861,14.94983116,-56.53693348,20.14074154,61.36974624,16.40328821,-28.23924399,20.97128673,44.86281411,9.694034447,-19.58051229,20.15889038,48.75483113,20.35087982,8.682685162,22.654753,52.9730229,24.19066846,10.79174886,74.94212963,34.5835443,150.1736111,-49.40506329
9.75891484,275.9597036,7.682551876,-212.173551,15.15747043,92.02546407,24.708746,-98.98319785,29.48438379,94.38362735,24.91637933,-44.74631948,38.62039271,75.51846448,14.36585597,-12.94826621,30.33433029,59.30014964,31.48627274,2.355494057,33.02218234,52.9730229,35.51804496,12.90081257,99.68171296,42.81772152,108.5069444,-34.5835443
16.19565488,327.8386886,11.42001115,-238.1130097,19.93310821,108.5324046,38.41275938,-169.7271517,41.5273068,143.9043816,31.56075269,-58.89502929,51.49384902,101.4579907,20.20563288,-21.79139592,39.35783361,65.62740511,43.77359055,-8.189824452,41.85369623,52.9730229,46.84542146,6.573557097,116.4641204,52.69873418,63.22337963,-21.40886076
27.40801488,386.791961,16.19565488,-268.76893,24.91637933,146.2624099,48.17166828,-226.3223957,50.87094905,176.9181952,41.94257345,-84.83448803,69.3506121,150.9787449,25.65609133,-28.42350707,49.53327351,78.28178732,55.10096705,-12.40795186,52.60510443,59.30014964,54.02582506,4.991823684,149.7395833,72.46075949,32.84143519,-13.17468354
40.07384975,436.3127152,20.97128673,-292.350158,31.97601934,195.783299,60.00696985,-261.6943727,62.49859352,221.7226903,51.70149423,-110.7739468,83.26223504,193.4250767,33.63712571,-37.26650185,59.51673571,90.93610517,70.07615448,-29.28052583,67.58028014,76.17272362,68.77061697,-5.131720702,165.7986111,82.34177215,24.30555556,-13.17468354
58.96877946,492.9078917,27.82329342,-315.9315209,38.82802603,235.8715351,72.67278096,-294.7081189,75.78732837,275.9597036,58.72653397,-130.9162804,94.26699142,224.080862,39.28223744,-46.10949663,71.80404765,109.9177428,80.63557325,-39.82584434,80.4435721,86.71804213,89.19829724,-13.56797551,189.525463,100.456962,,
72.46515951,523.5635421,36.12875715,-334.7964223,48.17166828,290.1085484,85.54623727,-330.0800958,89.49132987,327.8386886,66.51290318,-158.4278497,111.500807,275.9597121,47.45792511,-59.3739888,83.70739245,124.6811888,95.41874782,-56.69828959,93.69084293,95.15429693,107.1685034,-23.69158426,224.9710648,123.5126582,,
85.54623727,554.2193274,44.22657568,-360.7358811,57.51531053,330.1967844,98.41971735,-360.7358811,101.1189744,372.6431837,74.81836763,-183.9742491,125.8277322,313.6898523,54.85497586,-72.63848097,98.10659987,149.9899532,110.7779024,-73.57079921,105.5941994,107.8086791,125.4458997,-40.56409387,249.5659722,143.2746835,,
100.4960863,582.5168145,54.40076311,-381.9590133,68.72768836,363.2106655,113.7848092,-391.3915315,115.0306329,410.3732564,85.96152769,-216.8898017,143.6844597,367.9268656,67.3131666,-101.378214,109.8179552,166.8624628,126.713037,-96.77049993,118.4574797,118.3539977,143.1089275,-50.68744517,,,,
110.0473499,591.9494002,61.87568166,-396.107858,84.09279211,412.7314197,132.4720937,-424.4054126,133.0949937,457.5359148,96.55098177,-254.6199503,161.9564775,410.3732649,75.68352538,-123.4857009,126.5210358,198.4984183,140.9202433,-119.9702006,136.3124969,141.5536984,155.2426619,-64.18550435,,,,
123.5437181,608.4563407,72.67278096,-419.6892209,101.1189744,474.0428554,153.2357352,-459.7773895,149.4982878,492.9078917,108.3862596,-285.2756007,179.3979383,443.3871122,86.77908962,-150.0146853,142.2641693,225.9162464,156.4713873,-138.951774,149.9437466,156.3171443,169.8338471,-75.99627395,,,,
138.7011885,622.605118,82.22405653,-438.5542573,118.7680803,507.056669,173.7917672,-483.3587524,163.8252012,518.8473505,127.0735322,-323.0058083,194.9706754,471.6847005,97.48534728,-172.1221722,158.7752605,257.552202,173.7504362,-164.2606671,163.7669857,177.4077813,182.2747716,-86.11975398,,,,
159.0495634,641.4701206,98.62733879,-469.2100426,134.7561078,542.428646,196.4241562,-509.2982112,178.567405,537.7123869,145.7608167,-358.3777853,214.073274,504.6985142,107.412968,-196.4404079,176.8222671,297.6244123,190.0695379,-191.6783665,177.7822142,198.4984183,196.0980108,-106.366714,,,,
172.9612101,653.2608021,112.5389855,-485.7168482,149.4982878,568.3681047,215.1114407,-532.8794392,192.4790517,556.5774232,171.0924864,-398.4660888,229.4383303,532.9961362,123.1803657,-234.0231357,194.2933288,335.5875589,204.0847665,-216.9872597,191.6054534,221.698119,209.3068931,-116.4903228,,,,
188.3263139,665.0514498,126.2429989,-504.5820195,164.4481249,587.2331411,241.0660104,-558.8188979,206.1830413,575.4425271,192.2714421,-429.1217391,243.1423674,558.9354937,136.0278868,-262.7628687,212.7242909,371.4416419,219.443921,-240.1868316,207.9245551,247.0068835,217.6008272,-123.2392236,,,,
202.2379606,674.4840355,142.4386359,-523.446921,179.190305,599.0238225,,,224.2474258,594.307496,213.0350836,-457.4194286,253.316543,577.8006313,149.2647025,-293.7133505,238.066896,426.2772981,233.8431285,-261.2774687,222.7077414,265.9884568,227.2771051,-138.424508,,,,
212.4121361,683.9165874,154.6891923,-542.3119574,191.6484946,610.8144365,,,242.3118103,617.8887914,235.4597918,-483.3587524,,,159.9709602,-313.6100887,253.0420717,455.8041899,246.8984098,-284.4771694,238.2588854,293.4062849,239.7180062,-146.8607628,,,,
226.5314637,693.3490719,167.977939,-549.3863797,208.0517888,629.6794729,,,254.3547096,632.0377036,253.7318096,-514.0144028,,,172.8184694,-333.506827,206.7726419,-216.9872597,,,249.3942725,308.1697308,237.4909511,287.0789651,,,,
242.9347103,707.4978829,178.9826716,-558.8188979,226.3237828,643.8283176,,,,,,,,,184.6926824,-353.4037001,218.2920079,-242.2960241,,,253.4260505,316.6059856,253.4260505,303.9514747,,,,
,,189.9874042,-565.8933203,240.2354296,660.3352582,,,,,,,,,198.5134878,-371.0895548,229.6193609,-265.4956604,,,,,,,,,,
,,202.8608606,-575.3259734,249.7867289,665.0514498,,,,,,,,,216.422137,-397.618674,242.2906869,-292.9135529,,,,,,,,,,
,,218.641231,-591.832779,253.7318096,669.7677427,,,,,,,,,233.5521492,-426.3582721,,,,,,,,,,,,
,,233.5910681,-603.623393,,,,,,,,,,,254.5753461,-459.5195026,,,,,,,,,,,,
,,244.3881674,-610.6979503,,,,,,,,,,,,,,,,,,,,,,,,
,,251.6554526,-615.414142,,,,,,,,,,,,,,,,,,,,,,,,
,,253.9394429,-615.414142,,,,,,,,,,,,,,,,,,,,,,,,
